Time, Traffic ID, Lidar NIS, Radar NIS 
0,0,3.27888e-30,21.9853
0,1,1.543e-29,32.2956
0,2,3.10127e-30,1.98196
33333,0,2.02758,2.60167
33333,1,3.09067,2.29542
33333,2,2.70412,1.75501
66666,0,2.12507,1.35343
66666,1,3.4229,3.392
66666,2,1.63708,2.76214
100000,0,0.837572,1.3554
100000,1,0.465074,1.77097
100000,2,0.332118,2.13096
133333,0,1.51845,0.535627
133333,1,0.441504,0.882878
133333,2,0.327922,2.06146
166666,0,0.146208,3.20435
166666,1,3.09503,1.85562
166666,2,1.58946,3.51508
200000,0,0.585567,5.25658
200000,1,1.91668,1.2898
200000,2,2.26935,1.27052
233333,0,0.520985,0.0420482
233333,1,1.86392,1.10045
233333,2,0.860989,1.19786
266666,0,1.72971,7.54326
266666,1,0.637552,7.46502
266666,2,1.80226,6.12773
300000,0,0.825658,0.340511
300000,1,2.23787,0.835331
300000,2,0.865462,1.40839
333333,0,1.49768,3.73128
333333,1,0.413479,4.36996
333333,2,1.12682,4.22276
366666,0,6.13627,3.77991
366666,1,3.94545,2.11168
366666,2,4.89651,2.86959
400000,0,3.48323,0.0796756
400000,1,1.65334,0.525729
400000,2,2.56004,1.10894
433333,0,0.201097,8.46633
433333,1,0.339177,6.18394
433333,2,0.0351343,2.14909
466666,0,0.553406,3.76001
466666,1,0.677802,4.31181
466666,2,1.00085,4.67316
500000,0,0.619078,1.79604
500000,1,0.364777,0.998272
500000,2,0.350049,2.50944
533333,0,2.38652,1.18542
533333,1,1.36943,0.806955
533333,2,3.20851,1.54511
566666,0,2.76113,0.822086
566666,1,2.21704,0.867271
566666,2,3.05007,1.587
600000,0,0.207707,2.84395
600000,1,0.641901,2.28395
600000,2,0.324638,4.85348
633333,0,4.93503,3.17459
633333,1,8.48996,3.83567
633333,2,4.29216,3.48411
666666,0,3.18867,5.8743
666666,1,0.778277,5.5846
666666,2,2.76086,6.03847
700000,0,1.35738,3.00688
700000,1,1.43055,2.41929
700000,2,1.31384,1.1157
733333,0,1.34676,1.23435
733333,1,2.38975,1.77361
733333,2,1.31686,3.97636
766666,0,0.478262,0.0815375
766666,1,1.07911,0.205304
766666,2,0.469238,2.24531
800000,0,0.148811,1.05463
800000,1,1.80152,1.71306
800000,2,0.260081,2.31907
833333,0,0.140955,2.36389
833333,1,0.457079,1.84579
833333,2,0.0424505,2.8935
866666,0,3.19413,1.25451
866666,1,1.40817,1.5719
866666,2,2.79185,2.96606
900000,0,1.72006,1.88102
900000,1,0.603272,2.55885
900000,2,1.61947,1.87744
933333,0,4.94002,2.91064
933333,1,6.35975,3.39667
933333,2,4.36404,6.59231
966666,0,3.36792,2.90122
966666,1,1.42736,3.15291
966666,2,3.12423,4.68987
1000000,0,2.9565,4.06097
1000000,1,2.56742,5.66905
1000000,2,2.6846,1.73083
1033333,0,0.386987,0.140331
1033333,1,0.982801,0.484936
1033333,2,0.414923,0.372417
1066666,0,1.16552,0.632023
1066666,1,0.907016,0.416934
1066666,2,0.805425,1.58289
1100000,0,0.287934,2.35621
1100000,1,0.157754,2.85961
1100000,2,0.529553,5.20012
1133333,0,1.33236,1.08473
1133333,1,2.36042,0.513842
1133333,2,1.22544,0.799244
1166666,0,2.02676,0.44338
1166666,1,0.87569,1.10674
1166666,2,1.75943,3.58555
1200000,0,0.481976,4.27925
1200000,1,0.123849,4.61678
1200000,2,0.551438,6.94233
1233333,0,0.3449,6.79955
1233333,1,0.595932,8.129
1233333,2,0.76969,4.31739
1266666,0,0.342847,7.90118
1266666,1,0.0518841,7.92232
1266666,2,0.434462,6.48648
1300000,0,0.659847,7.68472
1300000,1,0.0508603,6.11826
1300000,2,0.8752,8.17255
1333333,0,2.07222,6.26722
1333333,1,2.23019,5.04154
1333333,2,3.62168,8.54778
1366666,0,3.46794,1.4234
1366666,1,2.37942,1.24426
1366666,2,4.75823,1.15615
1400000,0,3.49312,1.09667
1400000,1,1.94127,1.13384
1400000,2,2.35797,2.23378
1433333,0,0.152063,2.29649
1433333,1,0.280702,2.52429
1433333,2,1.7636,5.40011
1466666,0,3.8799,1.95493
1466666,1,3.86052,1.59384
1466666,2,1.36613,1.24693
1500000,0,1.36051,4.71491
1500000,1,0.265155,6.93661
1500000,2,1.13001,11.636
1533333,0,2.99174,9.16609
1533333,1,2.2566,8.2356
1533333,2,6.32248,5.26802
1566666,0,4.48938,2.00481
1566666,1,3.45626,2.23577
1566666,2,4.71319,4.45456
1600000,0,1.28816,4.22062
1600000,1,0.301774,3.27274
1600000,2,2.77703,3.60464
1633333,0,0.890811,1.07158
1633333,1,0.631668,1.42844
1633333,2,2.1458,4.00754
1666666,0,3.99855,2.54049
1666666,1,4.67898,2.15607
1666666,2,3.82732,4.09051
1700000,0,4.96177,0.906085
1700000,1,5.09672,0.624898
1700000,2,6.55562,2.11423
1733333,0,0.530096,3.08917
1733333,1,2.35181,2.50415
1733333,2,0.0927604,3.35536
1766666,0,0.283882,0.404149
1766666,1,1.00138,0.185527
1766666,2,0.145635,0.10388
1800000,0,1.49369,2.96742
1800000,1,1.0437,4.03258
1800000,2,1.07914,2.91025
1833333,0,2.16177,0.572602
1833333,1,3.42407,1.37372
1833333,2,2.46103,0.438084
1866666,0,0.757823,2.74062
1866666,1,0.473679,5.95483
1866666,2,0.275443,5.66976
1900000,0,3.83112,6.99389
1900000,1,4.69709,3.93901
1900000,2,10.7907,8.80901
1933333,0,5.04552,2.92439
1933333,1,2.9872,5.14453
1933333,2,8.01174,1.75069
1966666,0,7.70565,1.5895
1966666,1,6.5876,2.71877
1966666,2,4.4373,1.10284
2000000,0,3.54553,5.21098
2000000,1,1.72444,4.74802
2000000,2,2.96574,5.61848
2033333,0,4.12619,1.35333
2033333,1,2.66207,1.30171
2033333,2,3.89633,2.08149
2066666,0,0.821888,1.2805
2066666,1,0.170301,1.38088
2066666,2,1.62256,2.37857
2100000,0,0.218106,2.3577
2100000,1,0.616452,2.76626
2100000,2,0.453219,3.23411
2133333,0,0.522821,0.820654
2133333,1,0.530197,1.16255
2133333,2,0.251929,1.14258
2166666,0,4.10268,2.95885
2166666,1,4.07969,3.03889
2166666,2,5.33447,5.41593
2200000,0,2.03786,0.259754
2200000,1,1.81205,0.23055
2200000,2,2.7057,0.425297
2233333,0,2.41543,0.0454738
2233333,1,1.50406,0.227579
2233333,2,3.07489,0.313927
2266666,0,10.6454,1.22433
2266666,1,9.87219,2.21181
2266666,2,13.6758,0.937772
2300000,0,0.0719544,2.16988
2300000,1,0.301137,1.13108
2300000,2,0.464792,2.30565
2333333,0,10.3012,2.44922
2333333,1,11.4603,2.87457
2333333,2,6.31204,1.40564
2366666,0,4.03953,0.486475
2366666,1,3.54038,0.104739
2366666,2,10.2434,0.629421
2400000,0,2.83197,6.55435
2400000,1,3.52119,8.04144
2400000,2,0.236415,6.27866
2433333,0,3.49441,1.05703
2433333,1,3.95436,0.33023
2433333,2,3.80159,2.64294
2466666,0,1.96957,10.5892
2466666,1,2.15125,7.71162
2466666,2,4.95576,12.8687
2500000,0,0.67532,5.70516
2500000,1,0.536726,3.78083
2500000,2,0.483066,6.57461
2533333,0,0.73764,5.78259
2533333,1,2.4396,6.19562
2533333,2,1.68703,6.94993
2566666,0,1.95946,1.83726
2566666,1,2.96209,2.20326
2566666,2,4.05007,2.5179
2600000,0,3.41811,1.95681
2600000,1,4.05694,1.09364
2600000,2,3.71296,1.81198
2633333,0,10.194,2.21543
2633333,1,11.232,2.63826
2633333,2,13.5967,6.09743
2666666,0,0.101672,13.6822
2666666,1,0.398977,12.7849
2666666,2,1.08188,8.74084
2700000,0,0.29432,1.22031
2700000,1,1.57913,0.615169
2700000,2,0.296508,3.92808
2733333,0,3.68735,1.49364
2733333,1,1.53079,0.631222
2733333,2,5.58951,0.637649
2766666,0,3.25346,9.7846
2766666,1,0.829083,12.4341
2766666,2,6.42061,9.55365
2800000,0,0.9199,5.03484
2800000,1,3.05985,6.96904
2800000,2,0.702497,5.28935
2833333,0,0.937515,3.14718
2833333,1,0.583619,0.905823
2833333,2,3.61188,3.05425
2866666,0,4.79767,4.13169
2866666,1,4.33428,2.26461
2866666,2,7.58376,4.51815
2900000,0,1.15387,3.65336
2900000,1,2.91681,5.23764
2900000,2,0.716642,5.94829
2933333,0,3.7069,4.25731
2933333,1,5.3109,6.03694
2933333,2,0.966979,7.37285
2966666,0,1.87417,2.91142
2966666,1,1.95959,3.51313
2966666,2,1.41287,5.55744
3000000,0,5.22878,1.16564
3000000,1,5.40179,1.5931
3000000,2,3.68656,0.414669
3033333,0,0.323823,10.7407
3033333,1,0.743205,9.88886
3033333,2,0.421381,14.3241
3066666,0,3.77921,1.15849
3066666,1,3.07158,1.84759
3066666,2,4.65538,2.46431
3100000,0,0.0819393,3.81442
3100000,1,0.0436032,3.84337
3100000,2,0.851826,2.73879
3133333,0,0.927907,2.26192
3133333,1,1.03177,1.76704
3133333,2,3.64769,3.88355
3166666,0,1.49084,1.74267
3166666,1,1.17161,1.63313
3166666,2,3.81537,0.538915
3200000,0,1.60387,0.142448
3200000,1,1.11197,0.09369
3200000,2,2.69672,4.02616
3233333,0,0.789115,2.5753
3233333,1,0.525917,2.20198
3233333,2,0.717659,8.72164
3266666,0,2.40559,9.3975
3266666,1,1.93318,10.2036
3266666,2,0.304154,21.696
3300000,0,0.324589,3.24732
3300000,1,0.890683,2.81798
3300000,2,0.628697,5.57509
3333333,0,1.26792,1.69854
3333333,1,2.74514,1.41692
3333333,2,1.55359,3.69237
3366666,0,1.90944,4.62616
3366666,1,1.5908,6.96874
3366666,2,5.59242,0.978586
3400000,0,5.37395,2.02351
3400000,1,6.38904,1.21913
3400000,2,2.77408,8.61028
3433333,0,0.0982026,4.66977
3433333,1,0.402529,3.79339
3433333,2,0.720587,10.1069
3466666,0,2.54649,2.37135
