Time, Traffic ID, estimated x, estimated y, estimated v, estimated yaw 
0,0,-9.70063,3.92317,4.43005,0
0,1,24.9334,-4.06949,-5.40566,0
0,2,-11.8298,-0.0809007,0.829686,0
33333,0,-9.70589,3.99924,4.43807,-0.321383
33333,1,24.6861,-3.93059,-5.45911,-0.0225671
33333,2,-11.9164,0.0622687,0.866397,0.0707305
66666,0,-9.63601,4.03235,4.46498,-0.258842
66666,1,24.4566,-3.88977,-5.60608,-0.0263494
66666,2,-11.9824,0.108243,0.851798,0.153394
100000,0,-9.45605,3.99405,4.62568,-0.343473
100000,1,24.2587,-3.83835,-5.78635,-0.314703
100000,2,-11.9369,0.0945274,0.970209,0.0341025
133333,0,-9.26517,3.99438,4.78004,-0.24234
133333,1,24.0458,-3.85575,-5.97832,-0.138225
133333,2,-11.8893,0.0985974,1.08117,0.0248523
166666,0,-9.10399,3.94355,4.73033,-0.263596
166666,1,23.7916,-3.9555,-6.028,0.0565057
166666,2,-11.8579,0.0506412,1.10624,-0.171825
200000,0,-8.95192,3.90036,4.59738,-0.26469
200000,1,23.5741,-4.08879,-6.06869,0.235229
200000,2,-11.8324,-0.0378135,1.09981,-0.768966
233333,0,-8.81361,3.87889,4.58779,-0.235292
233333,1,23.357,-4.09668,-6.07628,0.181855
233333,2,-11.8242,-0.0486572,1.08412,-0.622717
266666,0,-8.6445,3.8629,4.68601,-0.221546
266666,1,23.1726,-4.14892,-6.1292,0.12647
266666,2,-11.7907,-0.0837552,1.14221,-0.480331
300000,0,-8.48794,3.86247,4.70857,-0.173105
300000,1,22.9534,-4.13293,-6.10875,0.0690382
300000,2,-11.7669,-0.088385,1.12359,-0.435301
333333,0,-8.31175,3.83617,4.69228,-0.127104
333333,1,22.7517,-4.16254,-6.08906,0.0927439
333333,2,-11.7173,-0.140251,1.15864,-0.573693
366666,0,-8.10045,3.87316,4.83679,-0.104936
366666,1,22.5675,-4.09926,-6.05727,-0.0376183
366666,2,-11.6501,-0.10952,1.17748,-0.345641
400000,0,-7.90673,3.91324,4.91466,-0.0252629
400000,1,22.3913,-4.02196,-5.95901,-0.154329
400000,2,-11.6035,-0.0842321,1.10415,-0.198117
433333,0,-7.71999,3.93502,5.00425,-0.0343542
433333,1,22.1839,-4.05788,-6.06802,-0.105498
433333,2,-11.5631,-0.0988981,1.17903,-0.194264
466666,0,-7.54671,3.98246,5.01335,0.0778576
466666,1,21.9872,-4.02205,-5.95611,-0.142642
466666,2,-11.5426,-0.0652898,1.00379,-0.0315813
500000,0,-7.371,3.96882,5.02103,0.0311394
500000,1,21.7866,-4.02055,-5.98588,-0.135538
500000,2,-11.495,-0.0757101,1.06797,-0.0379701
533333,0,-7.18409,3.99487,5.08236,0.0451735
533333,1,21.6097,-3.91493,-5.96116,-0.262783
533333,2,-11.4454,-0.0343681,1.08398,0.147239
566666,0,-7.02481,4.01986,5.07506,0.0741548
566666,1,21.4105,-3.83957,-5.94594,-0.334059
566666,2,-11.4218,0.0128502,1.05487,0.346635
600000,0,-6.8562,4.01981,5.088,0.0252743
600000,1,21.2157,-3.83764,-5.97632,-0.283128
600000,2,-11.382,0.00274986,1.13764,0.201099
633333,0,-6.69903,3.9515,5.01279,-0.0665438
633333,1,21.0081,-3.91092,-5.98011,-0.168555
633333,2,-11.3259,-0.0382942,1.2481,0.0698694
666666,0,-6.52118,3.98669,5.06316,-0.0179978
666666,1,20.8421,-3.84959,-5.92255,-0.223309
666666,2,-11.2852,0.00286423,1.2768,0.228618
700000,0,-6.34862,3.9854,5.05289,0.00274618
700000,1,20.6559,-3.84493,-5.86338,-0.19575
700000,2,-11.2344,0.0157051,1.3027,0.26357
733333,0,-6.16509,3.97207,5.09043,-0.0310336
733333,1,20.4487,-3.87782,-5.90905,-0.131072
733333,2,-11.1702,-0.00173892,1.39775,0.136709
766666,0,-6.00085,3.96968,5.08822,-0.0409128
766666,1,20.2384,-3.88508,-5.9489,-0.098992
766666,2,-11.125,0.0123962,1.45959,0.151291
800000,0,-5.84737,3.93694,5.03258,-0.0762504
800000,1,20.0246,-3.9187,-5.99138,-0.0440297
800000,2,-11.0749,0.00492422,1.51495,0.100437
833333,0,-5.67868,3.95075,5.04149,-0.0428826
833333,1,19.8234,-3.9539,-5.98825,0.0140363
833333,2,-11.0323,0.0157485,1.53138,0.122082
866666,0,-5.47187,3.9768,5.1681,-0.02456
866666,1,19.6328,-3.933,-6.00106,-0.0175661
866666,2,-10.9584,0.0366851,1.64372,0.136242
900000,0,-5.28893,4.02655,5.21691,0.054196
900000,1,19.4438,-3.92004,-5.92719,-0.0120747
900000,2,-10.9144,0.111833,1.65964,0.380883
933333,0,-5.15783,3.96465,5.09396,-0.0561237
933333,1,19.2151,-3.96119,-6.05376,-0.00594434
933333,2,-10.867,0.0569053,1.70738,0.122166
966666,0,-4.96985,3.99692,5.19185,-0.0508473
966666,1,19.0227,-3.90818,-6.0532,-0.0692175
966666,2,-10.8063,0.121068,1.82756,0.223158
1000000,0,-4.79559,4.04183,5.20606,0.0282601
1000000,1,18.8228,-3.90583,-5.96979,-0.0497629
1000000,2,-10.7655,0.207526,1.83759,0.451487
1033333,0,-4.6262,4.04121,5.19034,0.0303309
1033333,1,18.6143,-3.96333,-5.99024,0.0365367
1033333,2,-10.7094,0.203946,1.83445,0.365077
1066666,0,-4.45661,4.0255,5.1683,0.00847988
1066666,1,18.4014,-4.01702,-6.04385,0.0897069
1066666,2,-10.6432,0.191367,1.86053,0.257103
1100000,0,-4.28285,4.01626,5.18219,-0.0348033
1100000,1,18.2085,-3.99192,-6.05194,0.0260593
1100000,2,-10.5682,0.200692,1.97339,0.17998
1133333,0,-4.12027,4.01461,5.14837,-0.0222256
1133333,1,17.9918,-4.02415,-6.0765,0.0652763
1133333,2,-10.5093,0.225576,2.00348,0.194078
1166666,0,-3.93685,3.99564,5.1771,-0.0592826
1166666,1,17.7941,-4.02811,-6.10024,0.0347652
1166666,2,-10.4196,0.223649,2.12952,0.111821
1200000,0,-3.754,3.97456,5.19629,-0.0798912
1200000,1,17.5867,-4.01481,-6.11907,0.00077941
1200000,2,-10.3243,0.234696,2.25455,0.0723937
1233333,0,-3.60947,3.96398,5.08835,-0.0342486
1233333,1,17.3926,-4.00417,-6.02607,0.0119667
1233333,2,-10.2613,0.232961,2.20608,0.0413511
1266666,0,-3.4249,3.99408,5.1438,0.0289918
1266666,1,17.2059,-4.04338,-5.98207,0.0735192
1266666,2,-10.1966,0.27413,2.21279,0.11681
1300000,0,-3.21387,4.01594,5.25911,0.0596137
1300000,1,17.0014,-4.07395,-5.99138,0.109383
1300000,2,-10.1051,0.339033,2.29939,0.231161
1333333,0,-3.01154,4.03023,5.34717,0.0153902
1333333,1,16.8195,-4.0227,-5.96962,0.0116678
1333333,2,-10.0077,0.369837,2.44484,0.153312
1366666,0,-2.82324,4.02726,5.36762,0.0123098
1366666,1,16.6424,-3.99564,-5.90676,-0.019502
1366666,2,-9.90467,0.385729,2.5229,0.123532
1400000,0,-2.6375,4.01553,5.37686,-0.00731636
1400000,1,16.4492,-4.02829,-5.94512,0.00204729
1400000,2,-9.80517,0.386022,2.60873,0.0692976
1433333,0,-2.44165,4.02534,5.43971,-0.0218074
1433333,1,16.2511,-4.01271,-5.97183,-0.0329687
1433333,2,-9.70614,0.456384,2.74612,0.15097
1466666,0,-2.28298,4.00531,5.34994,-0.0111604
1466666,1,16.0241,-4.08515,-6.04811,0.0599054
1466666,2,-9.62132,0.445489,2.73714,0.0755877
1500000,0,-2.10318,3.97977,5.35146,-0.0837577
1500000,1,15.828,-4.04286,-6.09464,-0.0590042
1500000,2,-9.50425,0.456123,2.94956,0.0159628
1533333,0,-1.91283,3.99571,5.38487,-0.0186426
1533333,1,15.6438,-3.94854,-5.92842,-0.154131
1533333,2,-9.39323,0.58796,3.01538,0.275726
1566666,0,-1.68936,4.00184,5.52211,-0.0156223
1566666,1,15.4572,-3.9626,-5.93793,-0.132191
1566666,2,-9.27211,0.624188,3.12099,0.237879
1600000,0,-1.52117,3.99855,5.47436,-0.00888932
