Time, Traffic ID, ground truth x, ground truth y, ground truth v, ground truth yaw 
0,0,-9.83333,4,5,0
0,1,24.8,-4,-6,0
0,2,-11.9667,0,1,0
0,0,-9.66667,4,5,0
0,1,24.6,-4,-6,0
0,2,-11.9333,0,1,0
33333,0,-9.5,4,5,0
33333,1,24.4,-4,-6,0
33333,2,-11.9,0,1,0
66666,0,-9.33333,4,5,0
66666,1,24.2,-4,-6,0
66666,2,-11.8667,0,1,0
100000,0,-9.16667,4,5,0
100000,1,24,-4,-6,0
100000,2,-11.8333,0,1,0
133333,0,-9,4,5,0
133333,1,23.8,-4,-6,0
133333,2,-11.8,0,1,0
166666,0,-8.83333,4,5,0
166666,1,23.6,-4,-6,0
166666,2,-11.7667,0,1,0
200000,0,-8.66667,4,5,0
200000,1,23.4,-4,-6,0
200000,2,-11.7333,0,1,0
233333,0,-8.5,4,5,0
233333,1,23.2,-4,-6,0
233333,2,-11.7,0,1,0
266666,0,-8.33333,4,5,0
266666,1,23,-4,-6,0
266666,2,-11.6667,0,1,0
300000,0,-8.16667,4,5,0
300000,1,22.8,-4,-6,0
300000,2,-11.6333,0,1,0
333333,0,-8,4,5,0
333333,1,22.6,-4,-6,0
333333,2,-11.6,0,1,0
366666,0,-7.83333,4,5,0
366666,1,22.4,-4,-6,0
366666,2,-11.5667,0,1,0
400000,0,-7.66667,4,5,0
400000,1,22.2,-4,-6,0
400000,2,-11.5333,0,1,0
433333,0,-7.5,4,5,0
433333,1,22,-4,-6,0
433333,2,-11.5,0,1,0
466666,0,-7.33333,4,5.01667,0
466666,1,21.8,-4,-6,0
466666,2,-11.4667,0,1.06667,0.0166667
500000,0,-7.16611,4,5.03333,0
500000,1,21.6,-4,-6,0
500000,2,-11.4311,0.000592565,1.13333,0.0344444
533333,0,-6.99833,4,5.05,0
533333,1,21.4,-4,-6,0
533333,2,-11.3934,0.00189354,1.2,0.0533333
566666,0,-6.83,4,5.06667,0
566666,1,21.2,-4,-6,0
566666,2,-11.3534,0.00402587,1.26667,0.0733333
600000,0,-6.66111,4,5.08333,0
600000,1,21,-4,-6,0
600000,2,-11.3113,0.00711939,1.33333,0.0944445
633333,0,-6.49167,4,5.1,0
633333,1,20.8,-4,-6,0
633333,2,-11.2671,0.0113107,1.4,0.116667
666666,0,-6.32167,4,5.11667,0
666666,1,20.6,-4,-6,0
666666,2,-11.2207,0.0167428,1.46667,0.14
700000,0,-6.15111,4,5.13334,0
700000,1,20.4,-4,-6,0
700000,2,-11.1723,0.0235649,1.53333,0.164444
733333,0,-5.98,4,5.15,0
733333,1,20.2,-4,-6,0
733333,2,-11.1219,0.031932,1.6,0.19
766666,0,-5.80833,4,5.16667,0
766666,1,20,-4,-6,0
766666,2,-11.0695,0.0420045,1.66667,0.216667
800000,0,-5.63611,4,5.18334,0
800000,1,19.8,-4,-6,0
800000,2,-11.0153,0.0539476,1.73333,0.244445
833333,0,-5.46333,4,5.2,0
833333,1,19.6,-4,-6,0
833333,2,-10.9592,0.0679308,1.8,0.273333
866666,0,-5.29,4,5.21667,0
866666,1,19.4,-4,-6,0
866666,2,-10.9014,0.0841274,1.86667,0.303333
900000,0,-5.11611,4,5.23334,0
900000,1,19.2,-4,-6,0
900000,2,-10.842,0.102713,1.93333,0.334445
933333,0,-4.94167,4,5.25,0
933333,1,19,-4,-6,0
933333,2,-10.7812,0.123867,2,0.366667
966666,0,-4.76667,4,5.26667,0
966666,1,18.8,-4,-6,0
966666,2,-10.7189,0.147767,2.08333,0.366667
1000000,0,-4.59111,4,5.28334,0
1000000,1,18.6,-4,-6,0
1000000,2,-10.6541,0.172664,2.16667,0.366667
1033333,0,-4.415,4,5.3,0
1033333,1,18.4,-4,-6,0
1033333,2,-10.5867,0.198556,2.25,0.366667
1066666,0,-4.23833,4,5.31667,0
1066666,1,18.2,-4,-6,0
1066666,2,-10.5167,0.225444,2.33333,0.366667
1100000,0,-4.06111,4,5.33334,0
1100000,1,18,-4,-6,0
1100000,2,-10.4441,0.253327,2.41667,0.366667
1133333,0,-3.88333,4,5.35,0
1133333,1,17.8,-4,-6,0
1133333,2,-10.3689,0.282207,2.5,0.366667
1166666,0,-3.705,4,5.36667,0
1166666,1,17.6,-4,-6,0
1166666,2,-10.2911,0.312082,2.58333,0.366667
1200000,0,-3.52611,4,5.38334,0
1200000,1,17.4,-4,-6,0
1200000,2,-10.2107,0.342954,2.66667,0.366667
1233333,0,-3.34666,4,5.40001,0
1233333,1,17.2,-4,-6,0
1233333,2,-10.1277,0.374821,2.75,0.366667
1266666,0,-3.16666,4,5.41667,0
1266666,1,17,-4,-6,0
1266666,2,-10.0421,0.407684,2.83333,0.366667
1300000,0,-2.98611,4,5.43334,0
1300000,1,16.8,-4,-6,0
1300000,2,-9.95395,0.441543,2.91667,0.366667
1333333,0,-2.805,4,5.45001,0
1333333,1,16.6,-4,-6,0
1333333,2,-9.86319,0.476398,3,0.366667
1366666,0,-2.62333,4,5.46667,0
1366666,1,16.4,-4,-6,0
1366666,2,-9.76984,0.512248,3.08333,0.366667
1400000,0,-2.44111,4,5.48334,0
1400000,1,16.2,-4,-6,0
1400000,2,-9.67389,0.549095,3.16667,0.366667
1433333,0,-2.25833,4,5.50001,0
1433333,1,16,-4,-6,0
1433333,2,-9.57536,0.586937,3.25,0.366667
1466666,0,-2.075,4,5.51667,0
1466666,1,15.8,-4,-6,0
1466666,2,-9.47422,0.625775,3.33333,0.366667
1500000,0,-1.89111,4,5.53334,0
1500000,1,15.6,-4,-6,0
1500000,2,-9.3705,0.665609,3.41667,0.366667
1533333,0,-1.70666,4,5.55001,0
1533333,1,15.4,-4,-6,0
1533333,2,-9.26418,0.706439,3.5,0.366667
1566666,0,-1.52166,4,5.56667,0
1566666,1,15.2,-4,-6,0
1566666,2,-9.15527,0.748264,3.58333,0.366667
1600000,0,-1.33611,4,5.58334,0
1600000,1,15,-4,-6,0
1600000,2,-9.04376,0.791086,3.66667,0.366667
1633333,0,-1.14999,4,5.60001,0
1633333,1,14.8,-4,-6,0
1633333,2,-8.92967,0.834903,3.75,0.366667
1666666,0,-0.963328,4,5.61667,0
1666666,1,14.6,-4,-6,0
1666666,2,-8.81298,0.879717,3.83333,0.366667
1700000,0,-0.776105,4,5.63334,0
1700000,1,14.4,-4,-6,0
1700000,2,-8.69369,0.925526,3.91667,0.366667
1733333,0,-0.588327,4,5.65001,0
1733333,1,14.2,-4,-6,0
1733333,2,-8.57181,0.972331,4,0.366667
1766666,0,-0.399994,4,5.66668,0
1766666,1,14,-4,-6,0
1766666,2,-8.44734,1.02013,4.08333,0.366667
1800000,0,-0.211105,4,5.68334,0
1800000,1,13.8,-4,-6,0
1800000,2,-8.32028,1.06893,4.16667,0.366667
1833333,0,-0.0216598,4,5.70001,0
1833333,1,13.6,-4,-6,0
1833333,2,-8.19062,1.11872,4.25,0.366667
1866666,0,0.168341,4,5.71668,0
1866666,1,13.4,-4,-6,0
1866666,2,-8.05837,1.16951,4.33333,0.366667
1900000,0,0.358896,4,5.73334,0
1900000,1,13.2,-4,-6,0
1900000,2,-7.92353,1.22129,4.41667,0.366667
1933333,0,0.550008,4,5.75001,0
1933333,1,13,-4,-6,0
1933333,2,-7.7861,1.27407,4.5,0.366667
1966666,0,0.741675,4,5.76668,0
1966666,1,12.8,-4,-6,0
1966666,2,-7.64607,1.32785,4.58333,0.366667
2000000,0,0.933897,4,5.78334,0
2000000,1,12.6,-4,-6,0
2000000,2,-7.50344,1.38262,4.66667,0.366667
2033333,0,1.12668,4,5.80001,0
2033333,1,12.4,-4,-6,0
2033333,2,-7.35823,1.43839,4.75,0.366667
2066666,0,1.32001,4,5.81668,0
2066666,1,12.2,-4,-6,0
2066666,2,-7.21042,1.49515,4.83333,0.366667
2100000,0,1.5139,4,5.83334,0
2100000,1,12,-4,-6,0
2100000,2,-7.06002,1.55291,4.91667,0.366667
2133333,0,1.70834,4,5.85001,0
2133333,1,11.8,-4,-6,0
2133333,2,-6.90702,1.61167,5,0.366667
2166666,0,1.90334,4,5.85001,-0.0195
2166666,1,11.6,-4,-6,0
2166666,2,-6.75144,1.67142,5.08333,0.366667
2200000,0,2.09831,3.9962,5.85001,-0.0390001
2200000,1,11.4,-4,-6,0
2200000,2,-6.59325,1.73216,5.16667,0.366667
2233333,0,2.29316,3.98859,5.85001,-0.0585001
2233333,1,11.2,-4,-6,0
2233333,2,-6.43248,1.79391,5.25,0.366667
2266666,0,2.48783,3.97719,5.85001,-0.0780002
2266666,1,11,-4,-6,0
2266666,2,-6.26911,1.85664,5.33333,0.366667
2300000,0,2.68223,3.962,5.85001,-0.0975002
2300000,1,10.8,-4,-6,0
2300000,2,-6.10315,1.92038,5.41667,0.366667
2333333,0,2.87631,3.94302,5.85001,-0.117
2333333,1,10.6,-4,-6,0
2333333,2,-5.9346,1.98511,5.5,0.366667
2366666,0,3.06997,3.92025,5.85001,-0.1365
2366666,1,10.4,-4,-6,0
2366666,2,-5.76345,2.05084,5.58333,0.366667
2400000,0,3.26316,3.89372,5.85001,-0.156
2400000,1,10.2,-4,-6,0
2400000,2,-5.58971,2.11756,5.66667,0.366667
2433333,0,3.45579,3.86342,5.85001,-0.1755
2433333,1,10,-4,-6,0
2433333,2,-5.41338,2.18528,5.75,0.366667
2466666,0,3.6478,3.82937,5.85001,-0.195
2466666,1,9.8,-4,-6,0
2466666,2,-5.23445,2.25399,5.83334,0.366667
2500000,0,3.8391,3.79159,5.85001,-0.2145
2500000,1,9.6,-4,-6,0
2500000,2,-5.05293,2.3237,5.91667,0.366667
2533333,0,4.02964,3.75008,5.85001,-0.234001
2533333,1,9.4,-4,-6,0
2533333,2,-4.86882,2.3944,6,0.366667
2566666,0,4.21932,3.70487,5.85001,-0.253501
2566666,1,9.2,-4,-6,0
2566666,2,-4.68212,2.4661,6.08334,0.366667
2600000,0,4.40809,3.65596,5.85001,-0.273001
2600000,1,9,-4,-6,0
2600000,2,-4.49282,2.5388,6.16667,0.366667
2633333,0,4.59587,3.60339,5.85001,-0.292501
2633333,1,8.8,-4,-6,0
2633333,2,-4.30092,2.61249,6.25,0.366667
2666666,0,4.78259,3.54716,5.85001,-0.312001
2666666,1,8.6,-4,-6,0
2666666,2,-4.10644,2.68718,6.33334,0.366667
2700000,0,4.96817,3.4873,5.85001,-0.331501
2700000,1,8.4,-4,-6,0
2700000,2,-3.90936,2.76287,6.41667,0.366667
2733333,0,5.15256,3.42383,5.85001,-0.351001
2733333,1,8.2,-4,-6,0
2733333,2,-3.70969,2.83955,6.5,0.366667
2766666,0,5.33567,3.35679,5.85001,-0.370501
2766666,1,8,-4,-6,0
2766666,2,-3.50743,2.91722,6.58334,0.366667
2800000,0,5.51744,3.28618,5.85001,-0.390001
2800000,1,7.8,-4,-6,0
2800000,2,-3.30257,2.9959,6.66667,0.366667
2833333,0,5.69779,3.21204,5.85001,-0.409501
2833333,1,7.6,-4,-6,0
2833333,2,-3.09512,3.07556,6.75,0.366667
2866666,0,5.87667,3.1344
