Time, Traffic ID, lidar measured x, lidar measured y 
0,0,-9.66491,3.91754
0,1,24.9684,-4.08246
0,2,-11.7982,-0.0824619
33333,0,-9.72867,4.20942
33333,1,24.538,-3.79058
33333,2,-11.9953,0.209419
66666,0,-9.68959,4.1943
66666,1,24.2104,-3.8057
66666,2,-12.0896,0.194301
100000,0,-9.34828,4.05829
100000,1,24.185,-3.94171
100000,2,-11.8816,0.0582877
133333,0,-9.15578,4.10808
133333,1,24.0109,-3.89192
133333,2,-11.8224,0.108078
166666,0,-9.13492,3.88936
166666,1,23.6651,-4.11064
166666,2,-11.9349,-0.110642
200000,0,-8.90566,3.78188
200000,1,23.5277,-4.21812
200000,2,-11.839,-0.218123
233333,0,-8.89266,3.9413
233333,1,23.174,-4.0587
233333,2,-11.9593,-0.0587006
266666,0,-8.48579,3.74141
266666,1,23.2142,-4.25859
266666,2,-11.6858,-0.258594
300000,0,-8.55644,3.96992
300000,1,22.7769,-4.03008
300000,2,-11.8898,-0.0300773
333333,0,-8.15734,3.76369
333333,1,22.8093,-4.23631
333333,2,-11.624,-0.236307
366666,0,-7.81893,4.07119
366666,1,22.7811,-3.92881
366666,2,-11.4189,0.0711945
400000,0,-7.7101,4.06985
400000,1,22.5232,-3.93015
400000,2,-11.4434,0.0698541
433333,0,-7.67374,3.90451
433333,1,22.1929,-4.09549
433333,2,-11.5404,-0.09549
466666,0,-7.63359,4.01613
466666,1,21.8664,-3.98387
466666,2,-11.6336,0.0161277
500000,0,-7.28689,3.91776
500000,1,21.8464,-4.08224
500000,2,-11.4202,-0.0822392
533333,0,-7.0384,4.16943
533333,1,21.7277,-3.83057
533333,2,-11.3034,0.170019
566666,0,-7.20482,4.18104
566666,1,21.1935,-3.81896
566666,2,-11.5998,0.182932
600000,0,-6.7994,4.08075
600000,1,21.2306,-3.91925
600000,2,-11.3228,0.0847748
633333,0,-6.54476,3.70121
633333,1,21.1164,-4.29879
633333,2,-11.195,-0.291672
666666,0,-6.34179,4.1629
666666,1,20.9499,-3.8371
666666,2,-11.1172,0.174213
700000,0,-6.17104,4.01694
700000,1,20.7506,-3.98306
700000,2,-11.0701,0.0336855
733333,0,-6.01006,3.92884
733333,1,20.541,-4.07116
733333,2,-11.0313,-0.0475982
766666,0,-6.06827,4.04663
766666,1,20.1117,-3.95337
766666,2,-11.2101,0.0785637
800000,0,-5.87243,3.91311
800000,1,19.9359,-4.08689
800000,2,-11.1336,-0.0448843
833333,0,-5.66931,3.9841
833333,1,19.7668,-4.0159
833333,2,-11.0485,0.0380469
866666,0,-5.25382,4.07693
866666,1,19.8095,-3.92307
866666,2,-10.7497,0.144861
900000,0,-5.32211,4.18216
900000,1,19.3679,-3.81784
900000,2,-10.9335,0.26629
933333,0,-5.39404,3.80478
933333,1,18.9221,-4.19522
933333,2,-11.12,-0.0925084
966666,0,-4.951,4.24833
966666,1,18.9907,-3.75167
966666,2,-10.7905,0.372193
1000000,0,-4.98015,4.18143
1000000,1,18.5865,-3.81857
1000000,2,-10.9324,0.329201
1033333,0,-4.65483,3.95164
1033333,1,18.5363,-4.04836
1033333,2,-10.7178,0.124308
1066666,0,-4.47351,3.87511
1066666,1,18.3415,-4.12489
1066666,2,-10.6452,0.0736625
1100000,0,-4.2006,4.02315
1100000,1,18.2377,-3.97685
1100000,2,-10.4789,0.248589
1133333,0,-4.29185,3.98655
1133333,1,17.7693,-4.01345
1133333,2,-10.6748,0.239876
1166666,0,-3.76366,3.89142
1166666,1,17.9197,-4.10858
1166666,2,-10.2492,0.173626
1200000,0,-3.65807,3.96572
1200000,1,17.6469,-4.03428
1200000,2,-10.2441,0.277802
1233333,0,-3.6592,4.00772
1233333,1,17.2669,-3.99228
1233333,2,-10.3438,0.350672
1266666,0,-3.34844,3.95328
1266666,1,17.1982,-4.04672
1266666,2,-10.1295,0.328102
1300000,0,-3.13128,3.96831
1300000,1,17.0354,-4.03169
1300000,2,-10.0067,0.375998
1333333,0,-2.8241,4.10566
1333333,1,16.962,-3.89434
1333333,2,-9.79194,0.547201
1366666,0,-2.54341,3.99933
1366666,1,16.8616,-4.00067
1366666,2,-9.6016,0.47573
1400000,0,-2.44696,3.818
1400000,1,16.5764,-4.182
1400000,2,-9.59347,0.330244
1433333,0,-2.41583,4.05842
1433333,1,16.2253,-3.94158
1433333,2,-9.64861,0.607517
1466666,0,-2.45755,3.77952
1466666,1,15.8008,-4.22048
1466666,2,-9.77458,0.366456
1500000,0,-1.97485,3.87763
1500000,1,15.9001,-4.12237
1500000,2,-9.37408,0.503406
1533333,0,-1.89487,4.23063
1533333,1,15.5962,-3.76937
1533333,2,-9.37426,0.896242
1566666,0,-1.4058,3.93707
1566666,1,15.7009,-4.06293
1566666,2,-8.96332,0.643508
1600000,0,-1.40477,4.14569
1600000,1,15.3169,-3.85431
1600000,2,-9.03837,0.893957
1633333,0,-1.37454,4.13891
1633333,1,14.9616,-3.86109
1633333,2,-9.0822,0.929997
1666666,0,-0.851738,3.89909
1666666,1,15.0983,-4.10091
1666666,2,-8.63141,0.733988
1700000,0,-1.22905,4.18495
1700000,1,14.3343,-3.81505
1700000,2,-9.0787,1.06466
1733333,0,-0.732901,3.89454
1733333,1,14.4432,-4.10546
1733333,2,-8.65049,0.820065
1766666,0,-0.639889,3.91529
1766666,1,14.1484,-4.08471
